uuid,type,text
RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09,make,MERCEDES
MUY1TktUZHJVVVVhTXZzNW9ZbVBRQT09,make,PEUGEOT
SEZTaHlSQlEzOGF3YlJQU3RteHJydz09,make,LAND ROVER
Rmt1aVBPQ2tlZTh3UWo1Wlh4WDhodz09,make,VOLKSWAGEN
WmtTNmd6dm5FSjRoYmgzT0FvZExtUT09,make,CITROEN
WjFqUXZyWFN3TDVZSzdHeGZjaFllZz09,make,FORD
cGxsWUkzNnRsczVjWmJ0clVNa3J3UT09,make,RENAULT
WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,make,AUDI
Q3JoYldqOVVWKzFnU0RTZzB3OWhQQT09,make,KIA
M1ZldjBpN2NXUW1JbzJIWVVYV0lPZz09,make,OPEL
Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,make,BMW
UXMza1hTZVMxMjRENWVFNzJvVEsvQT09,make,SEAT
cVJNcDFndlh3NGpGV3cxVlQyMVNRZz09,make,NISSAN
MHQ2ckFFSHQ0T09lcTFsQkNVQXNQZz09,make,HYUNDAI
RjBRWVpEeWkyK1NXSU9TdDRUejZrUT09,make,FIAT
cHE3cjZlTXZ0a2I1a0FtT08wK2Q1UT09,make,TOYOTA
ZWE0VEgvV0hBM3RoWmc2bEE4ME4vQT09,make,VOLVO
M3pIdHI5TTY0Um1vbWpmdGdRRU5zZz09,make,SKODA
TWlnOC85bDUwdFBlYkF0aTNxL0dmUT09,make,MAZDA
TXR1T3o1YWxudGxRTFNTVlRrQ1J4QT09,make,JEEP
d2wzc2V2UktReGgwMHVtNEVrUm0xdz09,make,MINI
WkxJTjR3eVFyMEw0NE1NdlVpdm1Rdz09,make,DACIA
OGJxMEZzZ3ZVbnJ1U3FPakovKzBZdz09,make,CUPRA
NEJNZExaUXN0N0RUT0RUUVBpV0llZz09,make,DS
UEtHRFJYbUtOZXZpOUp5NDltNUZJUT09,make,MG
Q1o0OURsamJXQ2tYRlZLK3g2ME5uUT09,make,MITSUBISHI
RCtSNWNwU0VSSmk3Rm5ESEl4K1ZUQT09,make,LEXUS
R0RqMUROenlmNFVBSnpURm42bGhxZz09,make,HONDA
OWgzb0QzSVlobVlxZTk4MzhxTkN1UT09,make,SUZUKI
cG83QUFWWlpYVStPUlJLMlBQRW1JZz09,make,ALFA ROMEO
MWRySXFSMFlOaFp6a0hzM2czaVRJUT09,make,JAGUAR
SG8xLzJTcFQxNUE5anZpTHdlN2tsdz09,make,PORSCHE
RGU3L2dRMlY2dWU1RTh3TEwrQ0pFZz09,make,LYNK & CO
UFdaVDVROFZYVXRmdTArYnl2UHZMdz09,make,SSANGYONG KGM
Ykp2aXFqd0Q0dXM5TTdmWjZCN29iQT09,make,SMART
U1pUMzZBWnh2M0dlcmt4RUkyWFhmdz09,make,SUBARU
aWtsVjV4aEpRM3B6UXZucDJJNE5Edz09,make,IVECO
WFdNV1NtQndwNTF6d3J5TEgvZjJoUT09,make,ABARTH
