uuid,type,text,count
RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09,make,MERCEDES,8520
MUY1TktUZHJVVVVhTXZzNW9ZbVBRQT09,make,PEUGEOT,7654
Rmt1aVBPQ2tlZTh3UWo1Wlh4WDhodz09,make,VOLKSWAGEN,6625
WmtTNmd6dm5FSjRoYmgzT0FvZExtUT09,make,CITROEN,5968
WjFqUXZyWFN3TDVZSzdHeGZjaFllZz09,make,FORD,4890
cGxsWUkzNnRsczVjWmJ0clVNa3J3UT09,make,RENAULT,4681
WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09,make,AUDI,4575
Q3JoYldqOVVWKzFnU0RTZzB3OWhQQT09,make,KIA,4538
M1ZldjBpN2NXUW1JbzJIWVVYV0lPZz09,make,OPEL,4445
Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09,make,BMW,4440
UXMza1hTZVMxMjRENWVFNzJvVEsvQT09,make,SEAT,3730
cVJNcDFndlh3NGpGV3cxVlQyMVNRZz09,make,NISSAN,3458
MHQ2ckFFSHQ0T09lcTFsQkNVQXNQZz09,make,HYUNDAI,3191
RjBRWVpEeWkyK1NXSU9TdDRUejZrUT09,make,FIAT,3162
cHE3cjZlTXZ0a2I1a0FtT08wK2Q1UT09,make,TOYOTA,2839
ZWE0VEgvV0hBM3RoWmc2bEE4ME4vQT09,make,VOLVO,1939
M3pIdHI5TTY0Um1vbWpmdGdRRU5zZz09,make,SKODA,1506
TWlnOC85bDUwdFBlYkF0aTNxL0dmUT09,make,MAZDA,1466
SEZTaHlSQlEzOGF3YlJQU3RteHJydz09,make,LAND ROVER,1341
TXR1T3o1YWxudGxRTFNTVlRrQ1J4QT09,make,JEEP,1145
d2wzc2V2UktReGgwMHVtNEVrUm0xdz09,make,MINI,1044
WkxJTjR3eVFyMEw0NE1NdlVpdm1Rdz09,make,DACIA,1040
OGJxMEZzZ3ZVbnJ1U3FPakovKzBZdz09,make,CUPRA,943
NEJNZExaUXN0N0RUT0RUUVBpV0llZz09,make,DS,832
UEtHRFJYbUtOZXZpOUp5NDltNUZJUT09,make,MG,690
Q1o0OURsamJXQ2tYRlZLK3g2ME5uUT09,make,MITSUBISHI,572
RCtSNWNwU0VSSmk3Rm5ESEl4K1ZUQT09,make,LEXUS,530
R0RqMUROenlmNFVBSnpURm42bGhxZz09,make,HONDA,499
OWgzb0QzSVlobVlxZTk4MzhxTkN1UT09,make,SUZUKI,497
cG83QUFWWlpYVStPUlJLMlBQRW1JZz09,make,ALFA ROMEO,482
MWRySXFSMFlOaFp6a0hzM2czaVRJUT09,make,JAGUAR,476
SG8xLzJTcFQxNUE5anZpTHdlN2tsdz09,make,PORSCHE,394
RGU3L2dRMlY2dWU1RTh3TEwrQ0pFZz09,make,LYNK & CO,355
UFdaVDVROFZYVXRmdTArYnl2UHZMdz09,make,SSANGYONG KGM,251
Ykp2aXFqd0Q0dXM5TTdmWjZCN29iQT09,make,SMART,231
U1pUMzZBWnh2M0dlcmt4RUkyWFhmdz09,make,SUBARU,177
aWtsVjV4aEpRM3B6UXZucDJJNE5Edz09,make,IVECO,176
WFdNV1NtQndwNTF6d3J5TEgvZjJoUT09,make,ABARTH,145
SlJEd0xhcmp6NE8raS9saUxTdzc2QT09,make,TESLA,131
Y3pSeWFYc0JiMW96OVZ0WWZMMjRHUT09,make,CHEVROLET,109
Q3ZrVUVsRzdkQVk0UUs3WWdTakcwdz09,make,INFINITI,84
bURlM0NkcEtJSGk3emw1RXhxOTRuQT09,make,EVO,81
Y1JocEEvekl4dW04WkhEcXB5WXhxdz09,make,DFSK,77
dDRQWW1jU0p4K2NxVVpJUmNya2kzUT09,make,DR,58
cW1oa1hWbHd1dHNBYUVLR1hiVWJJZz09,make,MASERATI,48
NU41SDA2NUZQQVFyNmE5WC9wUWd2dz09,make,CHRYSLER,44
cjhmTjRNWE1qNStkaXAxdE9idkNuQT09,make,BENTLEY,34
VlU0VDgyYUlqYWIySVlrWjU2cURhZz09,make,OMODA,30
