uuid,type,text
VkFhcGhScll5YnlBRWJlRkhxVXorUT09,model,MERCEDES Clase A
QXp5dEc0Y0kzdVVMdGttUmtwWkFkZz09,model,NISSAN Qashqai
VkJENWpRb2JHYnNIWFpPeVZHallvQT09,model,VOLKSWAGEN Golf
Vlk2SktLaSswWHo5V2tIcjkwakhUZz09,model,FIAT 500
dFB5bVdXblVrZ1ZqdzJYVWRmdHRjZz09,model,PEUGEOT 3008
MmV2anhlRXhrcFo3VlZGSHhud1R1QT09,model,CITROEN Berlingo
VkhxRTUyWmVJNDZXWm1pTDVBVWN1dz09,model,PEUGEOT 2008
QzU5YzZKNytnb0NtU05YRHBvRTVOVWQzQ2xlTDdPTWRhRUlqbngyRG9qMD0=,model,SEAT León
Z1cya2dCUzNlWEVMV21NMkQ5YVprZz09,model,KIA Sportage
UUdmR3N2ZHgwWW5JaFA0RVEvcFpHdz09,model,HYUNDAI Tucson
SlRaMWY3UWhuOU8rck1vaXc0UHovQT09,model,PEUGEOT 208
aHZOTUtNWFZpYzBSOXpPbzNuSzNWZz09,model,RENAULT Clio
dVhSYVRxcjMweHFTMUNxMC9XME5SQT09,model,CITROEN C4
TlVEYVRQTmF4RkU5anFxbUVBTE0xQT09,model,OPEL Corsa
UTIwbUlldkh5UFg5RHdLbXN4SE14UT09,model,PEUGEOT 308
VWFoeTdHWGxOMW13NmVpZExrWVFoZz09,model,FORD Focus
TEpBUS8yRzJweDc1Z2NXcEJLTHh2QT09,model,MERCEDES Clase C
NTJEbm5rU1FkcnQwZmZlREE4RFowdz09,model,FORD Kuga
UXpaUCtyN0pqc2E1U1hLNlVOOUJJZz09,model,AUDI A3
WXRQVjFLaXdTaDhDQ21HVExHZEZsdz09,model,SEAT Ibiza
WmoyWHVJZGtscldWczFpbW0rcVNWdz09,model,VOLKSWAGEN Polo
bnFpQ0N2Y0t6dmxsMVM1V3R6ZG84UT09,model,KIA Ceed
ZFlpY0JzV1ZHdVh1NGE5c2YveUovUT09,model,CITROEN C3
VENsT01nR3k0OVNkZ1lsVE5JS2lxUT09,model,BMW Serie 1
QWQzdmMvekUzdURmck9PalpsM0M1Zz09,model,SEAT Arona
