modelId,type,text,brandId
VkFhcGhScll5YnlBRWJlRkhxVXorUT09,model,MERCEDES Clase A,RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09
QXp5dEc0Y0kzdVVMdGttUmtwWkFkZz09,model,NISSAN Qashqai,cVJNcDFndlh3NGpGV3cxVlQyMVNRZz09
VkJENWpRb2JHYnNIWFpPeVZHallvQT09,model,VOLKSWAGEN Golf,Rmt1aVBPQ2tlZTh3UWo1Wlh4WDhodz09
Vlk2SktLaSswWHo5V2tIcjkwakhUZz09,model,FIAT 500,RjBRWVpEeWkyK1NXSU9TdDRUejZrUT09
dFB5bVdXblVrZ1ZqdzJYVWRmdHRjZz09,model,PEUGEOT 3008,MUY1TktUZHJVVVVhTXZzNW9ZbVBRQT09
MmV2anhlRXhrcFo3VlZGSHhud1R1QT09,model,CITROEN Berlingo,WmtTNmd6dm5FSjRoYmgzT0FvZExtUT09
VkhxRTUyWmVJNDZXWm1pTDVBVWN1dz09,model,PEUGEOT 2008,MUY1TktUZHJVVVVhTXZzNW9ZbVBRQT09
QzU5YzZKNytnb0NtU05YRHBvRTVOVWQzQ2xlTDdPTWRhRUlqbngyRG9qMD0=,model,SEAT León,UXMza1hTZVMxMjRENWVFNzJvVEsvQT09
Z1cya2dCUzNlWEVMV21NMkQ5YVprZz09,model,KIA Sportage,Q3JoYldqOVVWKzFnU0RTZzB3OWhQQT09
UUdmR3N2ZHgwWW5JaFA0RVEvcFpHdz09,model,HYUNDAI Tucson,MHQ2ckFFSHQ0T09lcTFsQkNVQXNQZz09
SlRaMWY3UWhuOU8rck1vaXc0UHovQT09,model,PEUGEOT 208,MUY1TktUZHJVVVVhTXZzNW9ZbVBRQT09
aHZOTUtNWFZpYzBSOXpPbzNuSzNWZz09,model,RENAULT Clio,cGxsWUkzNnRsczVjWmJ0clVNa3J3UT09
dVhSYVRxcjMweHFTMUNxMC9XME5SQT09,model,CITROEN C4,WmtTNmd6dm5FSjRoYmgzT0FvZExtUT09
TlVEYVRQTmF4RkU5anFxbUVBTE0xQT09,model,OPEL Corsa,M1ZldjBpN2NXUW1JbzJIWVVYV0lPZz09
UTIwbUlldkh5UFg5RHdLbXN4SE14UT09,model,PEUGEOT 308,MUY1TktUZHJVVVVhTXZzNW9ZbVBRQT09
VWFoeTdHWGxOMW13NmVpZExrWVFoZz09,model,FORD Focus,WjFqUXZyWFN3TDVZSzdHeGZjaFllZz09
TEpBUS8yRzJweDc1Z2NXcEJLTHh2QT09,model,MERCEDES Clase C,RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09
NTJEbm5rU1FkcnQwZmZlREE4RFowdz09,model,FORD Kuga,WjFqUXZyWFN3TDVZSzdHeGZjaFllZz09
UXpaUCtyN0pqc2E1U1hLNlVOOUJJZz09,model,AUDI A3,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09
WXRQVjFLaXdTaDhDQ21HVExHZEZsdz09,model,SEAT Ibiza,UXMza1hTZVMxMjRENWVFNzJvVEsvQT09
WmoyWHVJZGtscldWczFpbW0rcVNWdz09,model,VOLKSWAGEN Polo,Rmt1aVBPQ2tlZTh3UWo1Wlh4WDhodz09
bnFpQ0N2Y0t6dmxsMVM1V3R6ZG84UT09,model,KIA Ceed,Q3JoYldqOVVWKzFnU0RTZzB3OWhQQT09
ZFlpY0JzV1ZHdVh1NGE5c2YveUovUT09,model,CITROEN C3,WmtTNmd6dm5FSjRoYmgzT0FvZExtUT09
VENsT01nR3k0OVNkZ1lsVE5JS2lxUT09,model,BMW Serie 1,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09
QWQzdmMvekUzdURmck9PalpsM0M1Zz09,model,SEAT Arona,UXMza1hTZVMxMjRENWVFNzJvVEsvQT09
cTJHQ0dtRDhmOFBjQjQ2TWpqQXNBUT09,model,MINI Mini,d2wzc2V2UktReGgwMHVtNEVrUm0xdz09
aXdETmhBV29SZ1JqSi9DUmpyci9nUT09,model,NISSAN Juke,cVJNcDFndlh3NGpGV3cxVlQyMVNRZz09
UlY2MDZvQzkwYmFIZldGa2k3Y0lvc0w5a2xUem5ML0tsUmRwRlkvQnMvdz0=,model,RENAULT Mégane,cGxsWUkzNnRsczVjWmJ0clVNa3J3UT09
OXQxWS91eWliZUI1MEFPQmk4VVQ3UT09,model,VOLKSWAGEN Tiguan,Rmt1aVBPQ2tlZTh3UWo1Wlh4WDhodz09
UnA1TXR2elo0Y0VhakRNRmFhU2JlUT09,model,OPEL Astra,M1ZldjBpN2NXUW1JbzJIWVVYV0lPZz09
ZEFsMUZqdElrVHMyMUtkSEc0ODBZQT09,model,TOYOTA C-HR,cHE3cjZlTXZ0a2I1a0FtT08wK2Q1UT09
WThPZ1J1K2dNZjd2WVJNMmttampJUT09,model,BMW Serie 3,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09
ZFY2WTdpTmpiWGZEODlpVEdneGNmbjEwalNNU3M4T2k5WlJvNmhtb0tZZz0=,model,MERCEDES Clase GLA,RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09
bTEyUDRUbmVuSTEzYXo3TGJZU2VCUT09,model,AUDI Q3,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09
QXA3UlVLbGJmMjgybi85UEVIaTNjV05VSmJsa04wZkRHV05OMHFBYy9qRT0=,model,MERCEDES Clase GLC,RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09
TlFMcFJKV2JqeVNQVnJHTUVEOUhScmN4MWpSdHJWby9UR1A2Umd3aXVicz0=,model,MERCEDES Clase CLA,RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09
WWlVaS9ERGQ2Lzh2Ynh4cU5ncGRUQT09,model,VOLKSWAGEN T-Roc,Rmt1aVBPQ2tlZTh3UWo1Wlh4WDhodz09
akd6N25LQWFhZ081YWJQWVB1Y0toZz09,model,RENAULT Captur,cGxsWUkzNnRsczVjWmJ0clVNa3J3UT09
MHZTNDRDcFk2amJNeTJNSDRxcngwQT09,model,TOYOTA Corolla,cHE3cjZlTXZ0a2I1a0FtT08wK2Q1UT09
cWxia09ZZTYyK3ZDVHlFUXl3ZHEvQT09,model,VOLVO XC40,ZWE0VEgvV0hBM3RoWmc2bEE4ME4vQT09
SWxBTkIxejVVOFBDa252aWpZNkJRdz09,model,FORD Puma,WjFqUXZyWFN3TDVZSzdHeGZjaFllZz09
VVVjNTJlNUJibjVRYngxRjlBQWZhQT09,model,KIA Niro,Q3JoYldqOVVWKzFnU0RTZzB3OWhQQT09
Szlkc2VZSXBWUVhrNll6eHVuN1F5Zz09,model,AUDI A1,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09
bE1oSElvYjUwbkI5V2xrY3EzSDB6QT09,model,RENAULT Kangoo,cGxsWUkzNnRsczVjWmJ0clVNa3J3UT09
aTZRT1V6cEZrNzgyRktFS0hUeXJjMm0wQlFDQ2lrUGwxUVIyNFlRZk5iUT0=,model,CUPRA Formentor,OGJxMEZzZ3ZVbnJ1U3FPakovKzBZdz09
Ly9vVmxEMFk5RFRGMmdSRkJ5RENDQT09,model,SEAT Ateca,UXMza1hTZVMxMjRENWVFNzJvVEsvQT09
cFJ0ZkozWUhab0Nack5zTzFHZjczdz09,model,VOLVO XC60,ZWE0VEgvV0hBM3RoWmc2bEE4ME4vQT09
Z3ArRzV6N0xocnB1aERSd0Q0VDdqQT09,model,KIA XCeed,Q3JoYldqOVVWKzFnU0RTZzB3OWhQQT09
bVQySmZ1Qk1EaVJmTUtCM1pxcytOdz09,model,PEUGEOT 5008,MUY1TktUZHJVVVVhTXZzNW9ZbVBRQT09
VlpCOTFBTmNoaThoY1ZwSFZoNnYzdz09,model,HYUNDAI Kona,MHQ2ckFFSHQ0T09lcTFsQkNVQXNQZz09
bDk2S29CTDRYTllYQ0xGdWUrbXE4Zz09,model,BMW X1,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09
elBEQTRvS091NXd0YURweEh5V09vUT09,model,AUDI A4,WFp4MlJjK2xyKzJsdHFRaXlqK2M4dz09
U0JuSVJxMjdaMnA4ZEZGRjNueXFWUGFvOEh5amcyL2NKR0p1ckdPeUR2OD0=,model,CITROEN C5 Aircross,WmtTNmd6dm5FSjRoYmgzT0FvZExtUT09
VE1IekcySGF6TnNrdGZUbncrWUVkUT09,model,MERCEDES Clase B,RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09
MmJRYW1xV3ZrM200OVhIRzNOTGtaYVVSU1p4YXhocWRGTlUyY2VlQzYvQT0=,model,CITROEN C3 Aircross,WmtTNmd6dm5FSjRoYmgzT0FvZExtUT09
aW1KQ0p2RGUrRzgxRnd6bDlUTEhRUT09,model,KIA Stonic,Q3JoYldqOVVWKzFnU0RTZzB3OWhQQT09
YzV3akNKWUt6OUtFQU1SU3U5VDNiUT09,model,OPEL Mokka,M1ZldjBpN2NXUW1JbzJIWVVYV0lPZz09
cFJESnI2bmpFR0tzRmZ5T21VT1k3QT09,model,PEUGEOT 508,MUY1TktUZHJVVVVhTXZzNW9ZbVBRQT09
ai9KcFRSMVdKNjRMMlVsWUg1S015bjloVWdnVFlJWXZjUXJ2NFdFOEVJMD0=,model,OPEL Crossland,M1ZldjBpN2NXUW1JbzJIWVVYV0lPZz09
aE0xQlNBVnkwNmJFVkR0bG40VzVaQT09,model,PEUGEOT Rifter,MUY1TktUZHJVVVVhTXZzNW9ZbVBRQT09
a2lXN1VOczBxY09NK3BIcUJOT0ZhUT09,model,VOLKSWAGEN T-Cross,Rmt1aVBPQ2tlZTh3UWo1Wlh4WDhodz09
VXk4SFRQcXd6MlY4U3JyRXJ6L3AvUT09,model,BMW Serie 2,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09
R3gvQlVFMHAvVGgxL29MZmZDVTJxQT09,model,FORD Fiesta,WjFqUXZyWFN3TDVZSzdHeGZjaFllZz09
