makeId,modelId,label
ABARTH,124 Spider,Abarth
ABARTH,500,Abarth
ABARTH,500e,Abarth
ABARTH,595,Abarth
ABARTH,695,Abarth
ABARTH,Punto,Abarth
ABARTH,Punto Evo,Abarth
ACURA,no tiene,ACURA
AIWAYS,U5,Aiways
AIWAYS,U6,Aiways
ALFA ROMEO,145,Alfa Romeo
ALFA ROMEO,146,Alfa Romeo
ALFA ROMEO,147,Alfa Romeo
ALFA ROMEO,156,Alfa Romeo
ALFA ROMEO,159,Alfa Romeo
ALFA ROMEO,166,Alfa Romeo
ALFA ROMEO,4C,Alfa Romeo
ALFA ROMEO,8C Competizione,Alfa Romeo
ALFA ROMEO,Brera,Alfa Romeo
ALFA ROMEO,GT,Alfa Romeo
ALFA ROMEO,GTV,Alfa Romeo
ALFA ROMEO,Giulia,Alfa Romeo
ALFA ROMEO,Giulietta,Alfa Romeo
ALFA ROMEO,Junior,Alfa Romeo
ALFA ROMEO,MiTO,Alfa Romeo
ALFA ROMEO,Spider,Alfa Romeo
ALFA ROMEO,Stelvio,Alfa Romeo
ALFA ROMEO,Tonale,Alfa Romeo
ALPINE,A110,Alpine
ARO,Arosa,SEAT
ASIA,no tiene,ASIA
ASIA MOTORS,no tiene,ASIA MOTORS
ASTON MARTIN,Cygnet,Aston Martin
ASTON MARTIN,DB11,Aston Martin
ASTON MARTIN,DB7,Aston Martin
ASTON MARTIN,DB9,Aston Martin
ASTON MARTIN,DBS,Aston Martin
ASTON MARTIN,DBS Superleggera,Aston Martin
ASTON MARTIN,DBX,Aston Martin
ASTON MARTIN,Rapide,Aston Martin
ASTON MARTIN,Vanquish,Aston Martin
ASTON MARTIN,Vantage,Aston Martin
ASTON MARTIN,Virage,Aston Martin
ASTON MARTIN,Volante,Aston Martin
AUDI,A1,Audi
AUDI,A1 allstreet,Audi
AUDI,A1 citycarver ,Audi
AUDI,A2,Audi
AUDI,A3,Audi
AUDI,A3 allstreet,Audi
AUDI,A4,Audi
AUDI,A4 Allroad,Audi
AUDI,A5,Audi
AUDI,A6,Audi
AUDI,A6 Allroad,Audi
AUDI,A7,Audi
AUDI,A8,Audi
AUDI,Cabriolet,Audi
AUDI,Q2,Audi
AUDI,Q3,Audi
AUDI,Q4,Audi
AUDI,Q5,Audi
AUDI,Q6,Audi
AUDI,Q7,Audi
AUDI,Q8,Audi
AUDI,Q8 e-tron,Audi
AUDI,R8,Audi
AUDI,RS Q3,Audi
AUDI,RS Q8,Audi
AUDI,RS e-tron GT,Audi
AUDI,RS3,Audi
AUDI,RS4,Audi
AUDI,RS5,Audi
AUDI,RS6,Audi
AUDI,RS7,Audi
AUDI,S1,Audi
AUDI,S3,Audi
AUDI,S4,Audi
AUDI,S5,Audi
AUDI,S6,Audi
AUDI,S7,Audi
AUDI,S8,Audi
AUDI,SQ2,Audi
AUDI,SQ5,Audi
AUDI,SQ6,Audi
AUDI,SQ7,Audi
AUDI,SQ8,Audi
AUDI,SQ8 e-tron,Audi
AUDI,TT,Audi
AUDI,TT RS,Audi
AUDI,e-tron,Audi
AUDI,e-tron GT,Audi
AUDI,e-tron S,Audi
AUSTIN,no tiene,AUSTIN
AUVERLAND,no tiene,AUVERLAND
BENTLEY,Arnage,Bentley
BENTLEY,Azure,Bentley
BENTLEY,Bentayga,Bentley
BENTLEY,Brooklands,Bentley
BENTLEY,Continental,Bentley
BENTLEY,Flying Spur,Bentley
BENTLEY,Mulsanne,Bentley
BERTONE,no tiene,BERTONE
BMW,Serie 1,BMW
BMW,Serie 2,BMW
BMW,Serie 3,BMW
BMW,Serie 4,BMW
BMW,Serie 5,BMW
BMW,Serie 6,BMW
BMW,Serie 6 GT,BMW
BMW,Serie 7,BMW
BMW,Serie 8,BMW
BMW,X1,BMW
BMW,X2,BMW
BMW,X3,BMW
BMW,X3 M,BMW
BMW,X4,BMW
BMW,X4 M,BMW
BMW,X5,BMW
BMW,X5 M,BMW
BMW,X6,BMW
BMW,X6 M,BMW
BMW,X7,BMW
BMW,XM,BMW
BMW,Z3,BMW
BMW,Z4,BMW
BMW,Z8,BMW
BMW,i3,BMW
BMW,i4,BMW
BMW,i5,BMW
BMW,i7,BMW
BMW,i8,BMW
BMW,iX,BMW
BMW,iX1,BMW
BMW,iX2,BMW
BMW,iX3,BMW
BUGATTI,no tiene,BUGATTI
BUICK,no tiene,BUICK
BYD,ATTO 3,BYD
BYD,DOLPHIN,BYD
BYD,ETP3,BYD
BYD,HAN,BYD
BYD,SEAL,BYD
BYD,SEAL U,BYD
BYD,TANG,BYD
BYD,e6,BYD
CADILLAC,ATS,Cadillac
CADILLAC,BLS,Cadillac
CADILLAC,CTS,Cadillac
CADILLAC,Escalade,Cadillac
CADILLAC,SRX,Cadillac
CADILLAC,STS,Cadillac
CADILLAC,Seville,Cadillac
CADILLAC,XLR,Cadillac
CATERHAM,Super Seven,Caterham
CENNTRO,no tiene,CENNTRO
CHEVROLET,Alero,Chevrolet
CHEVROLET,Aveo,Chevrolet
CHEVROLET,Blazer,Chevrolet
CHEVROLET,Camaro,Chevrolet
CHEVROLET,Captiva,Chevrolet
CHEVROLET,Corvette,Chevrolet
