"brand_id","brand","wallapop_brand"
"1","Alfa Romeo","Alfa Romeo"
"2","Asia Motors",""
"3","Aston Martin","Aston Martin"
"4","Audi","Audi"
"6","Bentley","Bentley"
"7","BMW","BMW"
"8","Cadillac","Cadillac"
"9","Chevrolet","Chevrolet"
"10","Chrysler","Chrysler"
"11","Citroen","Citroen"
"12","Daewoo","Daewoo"
"13","Daihatsu","Daihatsu"
"14","Fiat","Fiat"
"15","Ford","Ford"
"16","Galloper","Galloper"
"18","Hyundai","Hyundai"
"19","Isuzu","Isuzu"
"20","Jaguar","Jaguar"
"21","Jeep","Jeep"
"22","Kia","Kia"
"23","Lancia","Lancia"
"24","Land Rover","Land Rover"
"25","Lexus","Lexus"
"26","Maserati","Maserati"
"27","Mazda","Mazda"
"28","Mercedes","Mercedes"
"29","MG","MG"
"30","Mitsubishi","Mitsubishi"
"31","Nissan","Nissan"
"32","Opel","Opel"
"33","Peugeot","Peugeot"
"34","Porsche","Porsche"
"35","Renault","Renault"
"36","Rolls-Royce","Rolls-Royce"
"37","Rover","Rover"
"38","Saab","Saab"
"39","SEAT","SEAT"
"40","Skoda","Skoda"
"41","Smart","Smart"
"42","SsangYong","SsangYong"
"43","Subaru","Subaru"
"44","Suzuki","Suzuki"
"45","Tata","Tata"
"46","Toyota","Toyota"
"47","Volkswagen","Volkswagen"
"48","Volvo","Volvo"
"69","Honda","Honda"
"87","Piaggio","Piaggio"
"111","Austin",""
"112","Pontiac",""
"126","Iveco","Iveco"
"128","LDV","LDV"
"145","Daimler","Daimler"
"146","Ferrari","Ferrari"
"147","Lotus","Lotus"
"149","Morgan","Morgan"
"153","Lada","Lada"
"156","Talbot",""
"173","Dodge","Dodge"
"185","Innocenti",""
"186","",""
"222","Mini","Mini"
"234","Hummer","Hummer"
"238","Aro","Aro"
"241","Bertone",""
"243","Lamborghini","Lamborghini"
"246","Mahindra","Mahindra"
"1011","Dacia","Dacia"
"1025","Infiniti","Infiniti"
"1321","Auverland",""
"1323","Maybach","Maybach"
"1324","UMM",""
"1325","VAZ","VAZ"
"1326","Asia",""
"1328","Santana","Santana"
"1329","Renault V.I.",""
"1330","Abarth","Abarth"
"1351","DFSK",""
"1352","BYD","BYD"
"1354","Tesla","Tesla"
"1358","DS","DS"
"1372","Ram",""
"1377","Alpine","Alpine"
"1400","Corvette","Corvette"
"1401","DR Automobiles",""
"1402","Polestar","Polestar"
"1403","Maxus","Maxus"
"1404","Lynk & Co","Lynk & Co"
"1405","Invicta",""
"1408","Aiways","Aiways"
"1409","Ineos","Ineos"
"1410","Evo","Evo"
"1411","SWM",""
"1413","Invicta Electric",""
"1415","Cenntro",""
"1417","Nextem",""
"1418","Zhidou",""
"1419","MW Motors",""
"1420","Omoda",""
"1421","Yudo",""
