cochesNetMarcaId,cochesNetModeloId,milanunciosMarcaId,milanunciosModeloId,wallapopMarcaId,wallapopModeloId,cochesComMarcaId,cochesComModeloId
1330,1186,Abarth,124 Spider,Abarth,124 Spider,WFdNV1NtQndwNTF6d3J5TEgvZjJoUT09,ZjZ2cFU0cmJpM1lKVWhKTUVENUpTTVFjUEFZejVVeXM1N2YvNDBYVFRYTT0=
1330,916,Abarth,500,Abarth,500,WFdNV1NtQndwNTF6d3J5TEgvZjJoUT09,Mzk0UmVhSU5TeDRRNThLQVZVaENjdz09
1330,970,Abarth,500C,Abarth,500C,WFdNV1NtQndwNTF6d3J5TEgvZjJoUT09,None
1330,984,Abarth,695,Abarth,695,WFdNV1NtQndwNTF6d3J5TEgvZjJoUT09,None
1330,917,Abarth,Grande Punto,Abarth,Grande Punto,WFdNV1NtQndwNTF6d3J5TEgvZjJoUT09,None
1330,1040,Abarth,Punto,Abarth,Punto,WFdNV1NtQndwNTF6d3J5TEgvZjJoUT09,None
1330,969,Abarth,Punto EVO,Abarth,Punto EVO,WFdNV1NtQndwNTF6d3J5TEgvZjJoUT09,None
1408,1394,None,None,None,None,None,None
1408,1459,None,None,None,None,None,None
1,186,Alfa Romeo,145,Alfa Romeo,145,cG83QUFWWlpYVStPUlJLMlBQRW1JZz09,None
1,205,Alfa Romeo,146,Alfa Romeo,146,cG83QUFWWlpYVStPUlJLMlBQRW1JZz09,None
1,187,Alfa Romeo,147,Alfa Romeo,147,cG83QUFWWlpYVStPUlJLMlBQRW1JZz09,eXpwOVRwZzEwUEJlTlNhOFFZS20zZz09
1,58,Alfa Romeo,155,Alfa Romeo,155,cG83QUFWWlpYVStPUlJLMlBQRW1JZz09,None
1,59,Alfa Romeo,156,Alfa Romeo,156,cG83QUFWWlpYVStPUlJLMlBQRW1JZz09,None
1,60,Alfa Romeo,159,Alfa Romeo,159,cG83QUFWWlpYVStPUlJLMlBQRW1JZz09,Q1RQRHBlMDU4Mk9EakdKekN5L29QZz09
1,87,Alfa Romeo,164,Alfa Romeo,164,cG83QUFWWlpYVStPUlJLMlBQRW1JZz09,None
